Date,ZRX,ETC,TRX,KAVA,TRU,FUN,HIVE,SUN,HARD,COS
2022-03-12 15:00:00,4725.550587830702,8966.700822714953,948.0163219620365,4512.302458012587,3886.5975217741634,2890.157407648737,1549.6636657744511,1351.5103123550525,2677.62866821175,4084.513069590349
2022-03-12 16:00:00,4736.6045073344,8966.700822714953,948.0163219620365,4522.857551481622,3886.5975217741634,2896.9180097718922,1549.6636657744511,1351.5103123550525,2683.8921270847604,4084.513069590349
2022-03-12 17:00:00,4770.0787441353505,8966.700822714953,948.0163219620365,4554.8212090892675,3886.5975217741634,2917.390928568867,1549.6636657744511,1351.5103123550525,2702.8595626118617,4084.513069590349
2022-03-12 18:00:00,4781.342212244289,8966.700822714953,948.0163219620365,4565.576394943078,3886.5975217741634,2924.279691092052,1549.6636657744511,1351.5103123550525,2709.2417575649006,4084.513069590349
2022-03-12 19:00:00,4758.868218297195,8966.700822714953,948.0163219620365,4544.116576400456,3886.5975217741634,2910.5345456580117,1542.3797002478968,1351.5103123550525,2696.507366224995,4084.513069590349
2022-03-12 20:00:00,4753.282692219381,8966.700822714953,948.0163219620365,4538.783106240361,3886.5975217741634,2907.1184252992575,1540.569395435399,1351.5103123550525,2693.342451475904,4084.513069590349
2022-03-12 21:00:00,4747.710262334013,8966.700822714953,948.0163219620365,4533.462141285801,3886.5975217741634,2903.71031460137,1538.7633351828374,1351.5103123550525,2690.184957394456,4084.513069590349
2022-03-12 22:00:00,4786.993916986894,8966.700822714953,948.0163219620365,4570.9730573484485,3886.5975217741634,2927.736286471593,1551.495419516501,1340.4193719254101,2712.4441709899174,4084.513069590349
2022-03-12 23:00:00,4764.466886789309,8966.700822714953,948.0163219620365,4549.462595902103,3886.5975217741634,2913.958703947021,1544.1942646011296,1346.7570521709201,2699.6797278323183,4084.513069590349
2022-03-13 00:00:00,4709.066109035945,8966.700822714953,948.0163219620365,4496.561868042777,3886.5975217741634,2880.0754632034514,1526.238517338326,1362.6012527846956,2668.2881030900826,4084.513069590349
2022-03-13 01:00:00,4692.696238436745,8966.700822714953,948.0163219620365,4480.930714387933,3886.5975217741634,2870.0636133893017,1520.932937324403,1367.3545129688287,2668.2881030900826,4084.513069590349
2022-03-13 02:00:00,4660.295573959623,8966.700822714953,948.0163219620365,4449.992182412873,3886.5975217741634,2850.2472938492147,1510.431674235857,1376.8610333370939,2668.2881030900826,4084.513069590349
