Date,PSG,CELR,TRU,ASR,COTI,OG,EOS,DCR,BTC,MDT
2022-11-28 02:00:00,253.85866156355553,333.8047673337588,202.20434290832432,115.09575501100738,146.28802716211126,100.23158688730442,113.60129128569685,59.0542506125915,87.38908055787982,77.228298941198
2022-11-28 03:00:00,252.37526463194143,331.8542135706087,202.20434290832432,114.42320482590215,146.28802716211126,99.64589393704748,114.26901047428832,59.0542506125915,87.38908055787982,77.228298941198
2022-11-28 04:00:00,254.25718379520944,334.32879365610387,202.20434290832432,115.27643908480802,146.28802716211126,100.38893631726879,113.42323283540578,59.0542506125915,87.38908055787982,77.228298941198
2022-11-28 05:00:00,251.68892941343967,330.951735134325,202.20434290832432,114.11203060920391,146.28802716211126,99.37490665749841,114.58061276229766,59.0542506125915,87.38908055787982,77.228298941198
2022-11-28 06:00:00,251.20097103923754,330.951735134325,202.20434290832432,113.89079751380024,146.28802716211126,99.18224495401353,114.8031858251615,59.0542506125915,87.38908055787982,77.228298941198
2022-11-28 07:00:00,248.21735797325428,330.951735134325,202.20434290832432,112.53807156631832,146.28802716211126,98.00421828980876,116.18313881491723,59.0542506125915,87.38908055787982,77.228298941198
2022-11-28 08:00:00,249.94108962584625,328.66930937477804,202.20434290832432,113.31958595219551,146.28802716211126,98.68480313904351,115.38187578860749,59.0542506125915,87.38908055787982,77.228298941198
2022-11-28 09:00:00,251.2984112917741,326.8940893395747,202.20434290832432,113.93497548025245,146.28802716211126,99.22071750830133,114.75867121258875,59.0542506125915,87.38908055787982,77.228298941198
2022-11-28 10:00:00,249.363858471976,329.43011796129366,202.20434290832432,113.0578779014976,146.28802716211126,98.45689366297184,115.64896346404406,59.0542506125915,87.38908055787982,77.228298941198
2022-11-28 11:00:00,251.8846439775247,326.13328075305907,202.20434290832432,114.20076469210372,146.28802716211126,99.45218107947154,114.49158353715218,59.0542506125915,87.38908055787982,77.228298941198
2022-11-28 12:00:00,251.2984112917741,326.8940893395747,202.20434290832432,113.93497548025245,146.28802716211126,99.22071750830133,114.75867121258875,59.0542506125915,87.38908055787982,77.228298941198
2022-11-28 13:00:00,249.5559723845122,329.1765150991218,202.20434290832432,113.14497950234623,146.28802716211126,98.5327464315874,115.55993423889852,59.0542506125915,87.38908055787982,76.69281766964889
2022-11-28 14:00:00,247.4588633728777,331.9661465830126,200.50514674943085,112.1941813552677,146.28802716211126,97.70474015905306,116.53925571549935,59.0542506125915,87.38908055787982,76.69281766964889
2022-11-28 15:00:00,247.4588633728777,334.7557780669035,200.50514674943085,113.13698960195062,147.51733831473405,97.70474015905306,117.51857719210018,59.55050481942,88.12344257937461,77.3372951290577
2022-11-28 16:00:00,247.4588633728777,335.6433880845052,200.50514674943085,113.43697404407705,147.90848277238678,97.96380575795966,117.83017948010958,59.70840388522909,88.35710322257754,77.54235613886962
2022-11-28 17:00:00,247.4588633728777,335.77018951559114,200.50514674943085,113.4798289643808,147.96436055205146,98.00081512923202,117.87469409268232,59.73096089463038,88.39048331446364,77.57165056884274
2022-11-28 18:00:00,247.4588633728777,335.51658665341927,200.50514674943085,113.39411912377328,147.85260499272212,97.9267963866873,117.78566486753682,59.6858468758278,88.3237231306914,77.5130617088965
2022-11-28 19:00:00,247.4588633728777,336.78460096427875,200.50514674943085,113.82266832681097,148.41138278936882,98.29689009941097,118.23081099326446,59.911416969840744,88.65752404955266,77.80600600862778
2022-11-28 20:00:00,247.4588633728777,336.6577995331927,200.50514674943085,113.77981340650717,148.35550500970413,98.2598807281386,118.18629638069167,59.88885996043944,88.62414395766652,77.77671157865463
2022-11-28 21:00:00,247.4588633728777,336.2773952399349,200.50514674943085,113.65124864559587,148.18787167071014,98.1488526143215,118.05275254297337,59.82118893223555,88.52400368200813,77.68882828873525
2022-11-28 22:00:00,247.4588633728777,337.67221098188026,200.50514674943085,114.12265276893733,148.8025272470215,98.55595569831753,118.54241328127378,60.06931603564979,88.89118469275552,78.01106701843965
2022-11-28 23:00:00,247.4588633728777,338.559820999482,200.50514674943085,113.8234548028764,149.19367170467424,98.81502129722413,118.85401556928316,60.22721510145888,89.12484533595844,78.21612802825156
2022-11-29 00:00:00,250.14661881775157,342.23706250097445,200.50514674943085,112.60045362122268,150.8141273149497,99.8882930641228,120.14493933389333,60.88136837409644,90.0928680006561,79.06566649747225
2022-11-29 01:00:00,251.53683715130708,344.13908396726373,201.61947694625988,113.22624347091458,151.6522940099198,100.44343363320836,120.81265852248484,61.21972351511588,90.593569378948,79.5050829470692
2022-11-29 02:00:00,251.81488081801822,344.5194882605216,201.8423429856257,113.35140144085295,151.81992734891384,100.55446174702547,120.94620236020315,61.28739454331977,90.6937096546064,79.59296623698859
