time_entered,time_exited,log_return,trade_type,reference_coin,trading_coin,strategy_type
2023-06-18T13:00:00,2023-06-18T23:00:00,0.010056652952942115,short,1000LUNC,IOTA,both
2023-06-20T11:00:00,2023-06-20T14:00:00,0.023264174003231167,short,1000LUNC,IOTA,both
2023-06-20T17:00:00,2023-06-22T19:00:00,-0.05283341482134727,short,1000LUNC,IOTA,both
2023-06-23T10:00:00,2023-06-24T12:00:00,-0.047466537238923606,short,1000LUNC,IOTA,both
2023-06-25T00:00:00,2023-06-25T12:00:00,-0.005494519317640702,short,1000LUNC,IOTA,both
2023-06-25T17:00:00,2023-06-26T07:00:00,0.003885655735415716,long,1000LUNC,IOTA,both
2023-06-26T10:00:00,2023-06-26T16:00:00,0.01102547001170764,short,1000LUNC,IOTA,both
2023-06-27T02:00:00,2023-06-27T15:00:00,0.016331337386221164,short,1000LUNC,IOTA,both
2023-06-28T01:00:00,2023-06-28T10:00:00,0.003883500026397612,long,1000LUNC,IOTA,both
2023-06-28T10:00:00,2023-06-28T10:00:00,0.0,long,1000LUNC,IOTA,both
2023-06-29T03:00:00,2023-06-29T08:00:00,0.008501042977928995,short,1000LUNC,IOTA,both
2023-06-30T03:00:00,2023-06-30T13:00:00,0.04370443423472924,short,1000LUNC,IOTA,both
2023-06-30T18:00:00,2023-07-01T16:00:00,-0.015342766720907721,short,1000LUNC,IOTA,both
2023-07-04T15:00:00,2023-07-06T03:00:00,0.023175383770098583,short,1000LUNC,IOTA,both
2023-07-06T13:00:00,2023-07-06T18:00:00,0.013702598612200918,long,1000LUNC,IOTA,both
2023-07-07T01:00:00,2023-07-07T16:00:00,-0.0016515280384729533,short,1000LUNC,IOTA,both
2023-07-08T04:00:00,2023-07-09T01:00:00,0.0032912810840727306,long,1000LUNC,IOTA,both
2023-07-10T08:00:00,2023-07-10T19:00:00,0.031200302358966717,long,1000LUNC,IOTA,both
2023-07-10T22:00:00,2023-07-11T19:00:00,-0.005054770661623948,long,1000LUNC,IOTA,both
2023-07-12T03:00:00,2023-07-12T11:00:00,0.004973759908100703,short,1000LUNC,IOTA,both
2023-07-12T20:00:00,2023-07-13T08:00:00,0.015538603427779385,long,1000LUNC,IOTA,both
2023-07-13T15:00:00,2023-07-14T07:00:00,-0.03220125147634807,short,1000LUNC,IOTA,both
2023-07-14T09:00:00,2023-07-14T13:00:00,0.0036486879154913887,long,1000LUNC,IOTA,both
2023-07-14T18:00:00,2023-07-14T21:00:00,0.02058577569990925,long,1000LUNC,IOTA,both
2023-07-15T06:00:00,2023-07-15T16:00:00,0.003147956429597971,short,1000LUNC,IOTA,both
2023-07-15T19:00:00,2023-07-16T10:00:00,0.01655495646191619,long,1000LUNC,IOTA,both
2023-07-16T14:00:00,2023-07-16T16:00:00,0.010906366221775817,short,1000LUNC,IOTA,both
2023-07-16T16:00:00,2023-07-16T16:00:00,0.0,short,1000LUNC,IOTA,both
