coin,earliest_date,latest_date,data_span_days
FDUSD,2023-07-26 08:00:00,2025-08-29 07:00:00,764
SEI,2023-08-15 12:00:00,2025-08-29 07:00:00,744
CYBER,2023-08-15 12:00:00,2025-08-29 07:00:00,744
ARK,2023-09-22 08:00:00,2025-08-29 07:00:00,706
IQ,2023-09-22 08:00:00,2025-08-29 07:00:00,706
NTRN,2023-10-10 12:00:00,2025-08-29 07:00:00,688
TIA,2023-10-31 16:00:00,2025-08-29 07:00:00,667
MEME,2023-11-03 08:00:00,2025-08-29 07:00:00,664
ORDI,2023-11-07 12:00:00,2025-08-29 07:00:00,660
BEAMX,2023-11-14 08:00:00,2025-08-29 07:00:00,653
PIVX,2023-11-16 08:00:00,2025-08-29 07:00:00,651
VIC,2023-11-24 08:00:00,2025-08-29 07:00:00,643
BLUR,2023-11-24 09:00:00,2025-08-29 07:00:00,643
VANRY,2023-12-01 08:00:00,2025-08-29 07:00:00,636
AEUR,2023-12-04 10:00:00,2025-08-29 07:00:00,633
JTO,2023-12-07 16:00:00,2025-08-29 07:00:00,630
