Date,KNC,ASR,HIVE,DIA,ATM,CRV,MDT,STRAX,RIF,SAND
2021-12-15 23:00:00,577.7415513934013,1676.304010018317,320.6585559805916,627.1187434169931,1790.6048823577512,1138.9782011646712,639.1387437624235,303.7380095271906,192.99739916242606,2203.355986664217
2021-12-16 00:00:00,589.9424288851781,1676.304010018317,327.4302963007633,640.362379680949,1828.4192835430802,1163.0314018816678,639.1387437624235,310.15241789871857,192.99739916242606,2249.8869595520537
2021-12-16 01:00:00,584.980674848897,1662.2053322821519,324.6764197956591,634.976564953114,1813.0412291500813,1153.2496410350832,633.7632205141642,307.54385825624735,191.3741803915783,2230.9641203797146
2021-12-16 02:00:00,590.6581302720406,1678.3376543978886,327.82752542972446,641.1392491190369,1830.6374698489385,1164.4423585217323,639.9141287201943,310.5286859966894,193.23153812154862,2252.616458463123
2021-12-16 03:00:00,600.2284980045217,1705.531572010535,333.13927821935727,651.5275567835228,1860.2990843656878,1183.30968803635,650.2825858956536,315.56014762256035,196.362447157685,2289.115351414621
2021-12-16 04:00:00,577.4478840511139,1640.8011294266043,320.49556450855823,626.7999775358934,1789.6947138306293,1138.399255959064,625.6022573221825,303.58361880733617,188.90985682164276,2202.2360158136594
2021-12-16 05:00:00,557.6075608098289,1584.425436170782,309.4837731887288,605.2639835433315,1728.2032396970508,1099.285407177748,604.1074153657593,293.1528989203039,182.41917129603002,2126.5701841184914
2021-12-16 06:00:00,553.1727660557822,1584.425436170782,307.02237002589027,600.4501651382636,1714.4583997773696,1090.5425107402039,599.3027954415713,290.82137935414664,180.96834522988726,2109.6570305684495
2021-12-16 07:00:00,572.5008250746973,1584.425436170782,317.7498440667747,621.4301137941949,1714.4583997773696,1128.646465424222,620.2426545801312,300.9827848481265,180.96834522988726,2183.369219776955
2021-12-16 08:00:00,582.3816492942026,1584.425436170782,323.23390665234274,632.1554113836027,1714.4583997773696,1148.1258388021865,630.9474577435955,306.1774638073987,180.96834522988726,2221.0521130096063
2021-12-16 09:00:00,584.3788428788878,1584.425436170782,324.34239055718615,634.3232968821746,1714.4583997773696,1152.063170210973,633.1112007399728,307.2274551098932,181.5889499803327,2228.668889803192
2021-12-16 10:00:00,580.3980605704485,1584.425436170782,322.13297372777754,630.0022934974187,1702.7795278442811,1144.2153284520427,628.7984541409265,305.1346250342127,180.3519680322378,2213.4872216165218
2021-12-16 11:00:00,591.9919075333809,1584.425436170782,328.56779950139133,642.5870188321769,1736.7937098317907,1167.0718097395163,641.3591319637868,311.22989720356037,183.9546215538128,2257.7031379767614
2021-12-16 12:00:00,565.096569668326,1512.4419227383837,313.64032859053384,613.3930471591516,1657.8878108939846,1114.0494791361957,612.2209455671566,297.0901207429775,175.59720714397287,2155.1313157572904
2021-12-16 13:00:00,564.628464491331,1511.1890715764066,313.38052049859334,612.8849349597156,1656.5144777172995,1113.126641595493,611.7138042934926,296.8440222334156,175.451748887558,2153.346084382408
2021-12-16 14:00:00,557.0607080205416,1511.1890715764066,309.18025853702346,604.670393497359,1656.5144777172995,1098.2073240716566,603.5149595808305,292.8654001635987,175.451748887558,2124.484629835276
2021-12-16 15:00:00,565.753222388724,1511.1890715764066,314.00478448365027,614.1058212843363,1656.5144777172995,1115.344025343691,612.9323576884995,297.43534498686864,175.451748887558,2157.6356184150422
2021-12-16 16:00:00,557.6075608098289,1511.1890715764066,309.48377318872866,605.2639835433315,1656.5144777172995,1099.285407177748,604.1074153657593,293.1528989203038,175.451748887558,2126.5701841184914
2021-12-16 17:00:00,567.4487864917871,1511.1890715764066,309.48377318872866,615.9462982712025,1627.7856598773074,1118.6867147303353,614.769317801452,298.3267596072089,175.451748887558,2126.5701841184914
2021-12-16 18:00:00,580.3980605704485,1511.1890715764066,309.48377318872866,630.0022934974187,1591.4680977022226,1144.2153284520427,628.7984541409265,305.1346250342126,179.45558648138172,2126.5701841184914
2021-12-16 19:00:00,580.3980605704485,1511.1890715764066,309.48377318872866,622.2663528035058,1611.2530382901418,1130.1652495660883,621.0772956628293,301.38780793959563,177.2520107348483,2126.5701841184914
2021-12-16 20:00:00,580.3980605704485,1511.1890715764066,309.48377318872866,622.2663528035058,1590.9260445354298,1144.605180352708,629.0126955222353,305.23858913132824,179.51672978171612,2126.5701841184914
2021-12-16 21:00:00,580.3980605704485,1511.1890715764066,309.48377318872866,622.2663528035058,1599.5988952041068,1138.399255959064,625.6022573221825,303.58361880733594,178.54340966090706,2126.5701841184914
2021-12-16 22:00:00,580.3980605704485,1511.1890715764066,309.48377318872866,622.2663528035058,1601.7671078712763,1136.858275578747,624.7554183951812,303.1726765145341,178.30172653446252,2126.5701841184914
2021-12-16 23:00:00,573.7200456603317,1511.1890715764066,305.92287698283474,622.2663528035058,1583.337300200338,1136.858275578747,632.0274773563027,303.1726765145341,180.37713177313822,2102.102033099869
2021-12-17 00:00:00,547.9900470360581,1511.1890715764066,292.20295336600776,622.2663528035058,1512.3283353505453,1190.2376426399715,661.7033194830682,303.1726765145341,188.84645229725334,2007.8276865281186
