Date,BTC,FET,STORJ,KMD,TRU,HBAR,FUN,CKB,TROY,NMR
2021-12-30 15:00:00,89.17382082325739,68.931076691359,153.5938925005218,87.89651652997831,32.87154634991597,65.98946461310113,132.16308214741696,77.08216875260351,83.13902430567269,37.36713753056486
2021-12-30 16:00:00,89.27667413447222,68.931076691359,153.77104808587416,87.99789659518014,32.87154634991597,66.0655770290332,132.16308214741696,77.08216875260351,83.23491706727091,37.41023688181119
2021-12-30 17:00:00,89.07120422852405,68.931076691359,153.41714463803555,87.79536979058821,32.87154634991597,65.91352736958778,132.16308214741696,76.90476445167693,83.04335224087903,37.324137372301834
2021-12-30 18:00:00,89.58666258632802,68.931076691359,154.30497533617233,88.30344484724672,32.87154634991597,66.29497139371735,132.16308214741696,77.34981517188339,83.52392719597671,37.54013353765081
2021-12-30 19:00:00,89.17382082325739,68.931076691359,153.5938925005218,87.89651652997831,32.87154634991597,65.98946461310113,132.16308214741696,76.99336441072265,83.13902430567269,37.36713753056486
2021-12-30 20:00:00,88.56164356360117,68.931076691359,152.5394721858729,87.293107949681,32.87154634991597,65.5364476935604,132.16308214741696,76.464805844974,83.13902430567269,37.11061255895916
2021-12-30 21:00:00,88.56164356360117,68.931076691359,154.30497533617233,88.30344484724672,32.87154634991597,66.29497139371735,132.16308214741696,77.34981517188339,83.13902430567269,37.54013353765081
2021-12-30 22:00:00,88.56164356360117,68.931076691359,152.88933336061115,87.49332150002428,32.87154634991597,65.68676064698599,132.16308214741696,76.64018384003126,83.13902430567269,37.54013353765081
2021-12-30 23:00:00,88.56164356360117,67.98248389285403,155.02267289587547,88.71415854421069,32.87154634991597,66.60332009787417,132.16308214741696,77.70958175407821,83.13902430567269,37.54013353765081
2021-12-31 00:00:00,88.56164356360117,67.82438509310322,155.38403110775394,88.92095145457013,32.87154634991597,66.7585725922748,132.16308214741696,77.89072297028817,83.13902430567269,37.54013353765081
2021-12-31 01:00:00,88.56164356360117,67.90343449297863,155.20314166525367,88.81743463099089,32.87154634991597,66.68085597691709,132.00922524154103,77.80004692492113,83.13902430567269,37.54013353765081
2021-12-31 02:00:00,88.56164356360117,67.98248389285403,155.02267289587547,88.71415854421069,32.87154634991597,66.60332009787417,131.855726142423,77.70958175407821,83.13902430567269,37.54013353765081
2021-12-31 03:00:00,88.56164356360117,68.06153329272944,154.8426233338594,88.61112235542531,32.87154634991597,66.52596432540278,131.70258360334935,77.61932672300496,83.13902430567269,37.54013353765081
