Date,YFI,BNT,NEAR,PAXG,1INCH,UTK,STRAX,EGLD,SNX,DOT
2022-08-19 00:00:00,1626.2320788026864,959.4314219468258,989.2977110199673,536.0596935875856,1447.6552269186923,1162.5944514725065,1112.6255899584778,699.1433136738123,1012.9399449585408,799.8350181185375
2022-08-19 01:00:00,1629.2394427949241,957.6604363963933,987.4715961865203,535.0701971527216,1447.6552269186923,1160.448453407952,1114.6831499953867,699.1433136738123,1014.8131579866657,799.8350181185375
2022-08-19 02:00:00,1619.465509820151,963.44018833379,993.4312669155937,538.2994973212383,1447.6552269186923,1167.452088456375,1107.9960798754332,699.1433136738123,1008.7252156452599,799.8350181185375
2022-08-19 03:00:00,1614.954463831794,966.1313620442198,996.2062145885424,539.8031272020239,1447.6552269186923,1170.713127809605,1104.9097398200695,699.1433136738123,1005.9153961030725,799.8350181185375
2022-08-19 04:00:00,1614.2026228337347,966.5813533632901,996.6702137569581,540.0545492454343,1447.6552269186923,1171.2584063973131,1104.3953498108426,699.1433136738123,1005.4470928460413,799.8350181185375
2022-08-19 05:00:00,1530.7482720491305,1019.2780774415442,1051.0073423065762,569.4976017828819,1447.6552269186923,1235.1138499680903,1047.2980587866207,737.259673112807,953.4654313155752,799.8350181185375
2022-08-19 06:00:00,1530.7482720491305,1018.27780454906,1049.9759317645676,568.938722880249,1446.234564281873,1233.9017657188574,1048.3268388050756,736.5361601853165,952.5297439443134,799.0500966090982
2022-08-19 07:00:00,1530.7482720491305,1027.8604089504627,1059.8568345399651,574.2927772312765,1459.844498269667,1245.5135208197282,1048.3268388050756,743.4674068636331,961.4936196921799,806.5696368941766
2022-08-19 08:00:00,1530.7482720491305,1034.0060616198227,1066.1937961814597,577.7265158096401,1468.5730154491569,1252.9605373866625,1048.3268388050756,747.9126529435352,967.242460467619,811.3921758292688
2022-08-19 09:00:00,1546.155904379771,1044.413772355805,1076.9254901540962,583.5415788776786,1483.3548273812066,1265.5721180347416,1048.3268388050756,755.440711855901,976.9781671658335,819.5591831350491
2022-08-19 10:00:00,1559.498366498784,1053.4264800360324,1086.2187558051721,588.5772168679936,1496.1553512723133,1276.4932987487468,1048.3268388050756,761.9597433795304,985.4089432276704,826.6315212636256
2022-08-19 11:00:00,1544.6011975880365,1043.363582539459,1075.8426088165859,582.9548100703606,1481.863268982633,1264.299546774777,1048.3268388050756,754.6810932416666,975.9957859017148,818.7350914476331
2022-08-19 12:00:00,1551.6221121225276,1048.1061442782748,1080.732802493025,585.6046046615896,1488.5990111143726,1270.0463628964806,1048.3268388050756,758.1114618473107,980.4321303830864,822.4566145905769
2022-08-19 13:00:00,1553.9766221560976,1049.696593662612,1082.3727612221494,586.4932307688152,1490.8578867002823,1271.9735956171128,1048.3268388050756,759.2618586027695,981.919887788827,823.7046519420044
2022-08-19 14:00:00,1553.190991912338,1049.1659078215287,1081.8255555794688,586.1967225631686,1490.1041668384516,1271.3305351542122,1048.3268388050756,758.8780052869945,981.4234672186607,823.2882188520437
2022-08-19 15:00:00,1529.2243812855174,1032.976687740659,1065.132378763658,577.1513774165991,1467.1110214068976,1251.7131899129076,1048.3268388050756,747.1680908201467,966.2795510993085,810.5844185611461
2022-08-19 16:00:00,1532.2752029938176,1035.03748911271,1067.2573311402439,578.3028016109463,1470.0379261877592,1254.2103733341803,1048.3268388050756,748.6587004776434,968.2072908521251,812.201544583213
2022-08-19 17:00:00,1530.7482720491305,1034.0060616198227,1066.1937961814597,577.7265158096401,1468.5730154491569,1252.9605373866625,1048.3268388050756,747.9126529435352,968.2072908521251,811.3921758292688
2022-08-19 18:00:00,1526.9442256474176,1031.4364640511849,1063.5442092128176,576.2908137325782,1464.9234801224936,1249.8468183573714,1048.3268388050756,746.0540230902958,968.2072908521251,809.3757936825757
2022-08-19 19:00:00,1533.0398113785452,1035.5539748857204,1067.7898946787373,578.5913758632473,1470.7714780471345,1254.836226813888,1048.3268388050756,749.0322826635105,968.2072908521251,812.606834775121
2022-08-19 20:00:00,1533.0398113785452,1048.635758297617,1081.2789029490598,585.9005140121009,1489.3512086945213,1270.6881245755592,1048.3268388050756,758.4945398977642,968.2072908521251,822.8722066141195
2022-08-19 21:00:00,1533.0398113785452,1054.4970354019229,1081.2789029490598,589.1753644461115,1497.6758343528747,1277.7905480360935,1048.3268388050756,762.7340927122333,968.2072908521251,827.4715939478366
