Date,ONG,PSG,OG,CKB,PAXG,STRAX,HIVE,LSK,KMD,YFI
2022-03-17 11:00:00,475.9139446500481,344.4316844158553,415.17021185088106,205.35368701843797,401.5631492911777,303.1989718368855,148.17844697914592,138.54761275007309,518.2416964219082,193.62389347072425
2022-03-17 12:00:00,475.9139446500481,344.4316844158553,414.8594557042861,205.35368701843797,401.8639456576879,303.1989718368855,148.28944207051606,138.54761275007309,517.8537909605146,193.62389347072425
2022-03-17 13:00:00,479.6264087376554,344.4316844158553,411.64830885613804,205.35368701843797,404.9987675790237,303.1989718368855,149.4462042004069,138.54761275007309,517.8537909605146,193.62389347072425
2022-03-17 14:00:00,481.32205765743504,344.4316844158553,410.19811350536156,205.35368701843797,406.43058140379793,303.1989718368855,149.97454936677192,138.54761275007309,517.8537909605146,193.62389347072425
2022-03-17 15:00:00,480.7150941547144,344.4316844158553,410.71604041635317,205.35368701843797,405.91805860253214,303.1989718368855,149.7854263536991,138.54761275007309,517.8537909605146,193.62389347072425
2022-03-17 16:00:00,478.4225271896192,344.4316844158553,412.68416267812125,205.35368701843797,403.9822044073896,303.1989718368855,149.0710882260083,138.54761275007309,517.8537909605146,193.62389347072425
2022-03-17 17:00:00,478.66281976982486,344.4316844158553,412.47699191372465,205.35368701843797,404.18510857836264,303.1989718368855,149.1459606962373,138.54761275007309,517.8537909605146,193.62389347072425
2022-03-17 18:00:00,477.94266507608893,344.4316844158553,413.0985042069146,205.35368701843797,403.5770066095888,303.1989718368855,148.92156857884072,138.54761275007309,517.8537909605146,193.62389347072425
2022-03-17 19:00:00,476.50883708086064,344.4316844158553,414.3415287932945,205.35368701843797,403.5770066095888,303.1989718368855,148.4748038731042,138.54761275007309,517.8537909605146,193.62389347072425
2022-03-17 20:00:00,478.90335385011116,344.4316844158553,412.26982114932804,205.35368701843797,403.5770066095888,303.1989718368855,148.4748038731042,138.54761275007309,517.8537909605146,193.62389347072425
2022-03-17 21:00:00,478.06254033695575,344.4316844158553,412.9949188247163,205.35368701843797,403.5770066095888,303.1989718368855,148.4748038731042,138.54761275007309,516.944591929483,193.62389347072425
2022-03-17 22:00:00,479.0237115665853,344.4316844158553,412.16623576712965,205.35368701843797,403.5770066095888,303.1989718368855,148.4748038731042,138.54761275007309,517.9839376785245,193.62389347072425
2022-03-17 23:00:00,483.51987527230915,344.4316844158553,408.33357662579175,205.35368701843797,403.5770066095888,303.1989718368855,148.4748038731042,138.54761275007309,522.8457859012807,193.62389347072425
2022-03-18 00:00:00,483.51987527230915,344.4316844158553,406.36545436402355,205.35368701843797,403.5770066095888,303.1989718368855,147.75917189096594,138.54761275007309,525.3780494577743,193.62389347072425
